запрос,W,"""W""",позиция_Я,url,группа
детские лагеря подмосковья 2026,4008,64,1,https://aidacamp.ru/,Запросы без группы
летний лагерь для детей 2026,932,113,1,https://aidacamp.ru/,Запросы без группы
детский летний лагерь 2026,481,55,1,https://aidacamp.ru/,Запросы без группы
it лагерь,434,19,1,https://aidacamp.ru/,Запросы без группы
лагерь it,434,19,1,https://aidacamp.ru/,Запросы без группы
лагерь детям 2026 год,421,0,1,https://aidacamp.ru/,Запросы без группы
компьютерный лагерь,383,36,1,https://aidacamp.ru/,Запросы без группы
летний лагерь в москве 2026,345,119,1,https://aidacamp.ru/,Запросы без группы
детский летний лагерь в москве,272,71,1,https://aidacamp.ru/,Запросы без группы
детские летние лагеря в подмосковье 2026,217,159,1,https://aidacamp.ru/,Запросы без группы
айти лагерь,201,8,1,https://aidacamp.ru/,Запросы без группы
летний лагерь для школьников 2026,149,0,1,https://aidacamp.ru/,Запросы без группы
летний лагерь программирование,129,21,1,https://aidacamp.ru/,Запросы без группы
лагерь по программированию,98,4,1,https://aidacamp.ru/,Запросы без группы
компьютерный летний лагерь,91,24,1,https://aidacamp.ru/,Запросы без группы
летний компьютерный лагерь,84,22,1,https://aidacamp.ru/,Запросы без группы
it лагерь для детей,41,8,1,https://aidacamp.ru/,Запросы без группы
лагерь it для детей,41,8,1,https://aidacamp.ru/,Запросы без группы
ит лагерь для детей,14,3,1,https://aidacamp.ru/,Запросы без группы
летний лагерь в подмосковье 2026,1518,513,2,https://aidacamp.ru/,Запросы без группы
лагерь программирования,388,30,2,https://aidacamp.ru/,Запросы без группы
айти лагерь для детей,47,23,2,https://aidacamp.ru/,Запросы без группы
детский лагерь майнкрафт,27,3,2,https://aidacamp.ru/minecraft-lager/,Запросы без группы
айти лагерь подмосковье,21,2,2,https://aidacamp.ru/,Запросы без группы
детский лагерь программирование подмосковье,1,0,2,https://aidacamp.ru/,Запросы без группы
лагерь программирования для детей в подмосковье,1,0,2,https://aidacamp.ru/,Запросы без группы
летний компьютерный лагерь 2026,1,1,2,https://aidacamp.ru/,Запросы без группы
лагерь по программированию 2026,0,0,2,https://aidacamp.ru/,Запросы без группы
лагерь с программированием на лето подмосковье,0,0,2,https://aidacamp.ru/,Запросы без группы
детский лагерь на лето 2026,4006,122,3,https://aidacamp.ru/,Запросы без группы
лагерь для детей на лето 2026,771,81,3,https://aidacamp.ru/,Запросы без группы
лагерь летний программирование,129,21,3,https://aidacamp.ru/,Запросы без группы
школа летняя it,77,20,3,https://aidacamp.ru/letnyaya-it-shkola/,Запросы без группы
айти лагерь москва,12,2,3,https://aidacamp.ru/,Запросы без группы
лагерь подмосковье 2026,9441,315,4,https://aidacamp.ru/,Запросы без группы
ит лагерь,255,16,4,https://aidacamp.ru/,Запросы без группы
лагерь программирования для подростков,8,3,4,https://aidacamp.ru/,Запросы без группы
летний лагерь для подростков,1288,182,5,https://aidacamp.ru/,Запросы без группы
летний лагерь для программистов,6,4,5,https://aidacamp.ru/,Запросы без группы
лагерь в москве с бассейном на лето,2,0,5,https://aidacamp.ru/lager-s-basseynom/,Запросы без группы
айти лагерь для детей москва,0,0,5,https://aidacamp.ru/,Запросы без группы
детский лагерь подмосковье лето 2026,3356,127,6,https://aidacamp.ru/,Запросы без группы
компьютерный лагерь москва,6,2,7,https://aidacamp.ru/kompyuternyy-lager/,Запросы без группы
лагерь с программированием на лето,1,0,7,https://aidacamp.ru/,Запросы без группы
компьютерный лагерь для детей в подмосковье,1,1,9,https://aidacamp.ru/,Запросы без группы
летний лагерь 2026 для подростков,227,37,10,https://aidacamp.ru/,Запросы без группы
летний лагерь 2026 цена,104,1,10,https://aidacamp.ru/,Запросы без группы
летний лагерь 2026 для детей на лето,7,0,10,https://aidacamp.ru/,Запросы без группы
it лагерь для школьников москва,0,0,10,https://aidacamp.ru/,Запросы без группы
лагерь 2026,34853,99,11,https://aidacamp.ru/,Запросы без группы
детский летний лагерь,7640,320,11,https://aidacamp.ru/,Запросы без группы
летний лагерь подмосковье,3659,75,12,https://aidacamp.ru/,Запросы без группы
лагерь для детей 2026 летний цена,30,0,12,https://aidacamp.ru/,Запросы без группы
лагерь для детей на лето 2026 год,25,0,12,https://aidacamp.ru/,Запросы без группы
лагерь для лето летний 2026,9,0,12,https://aidacamp.ru/,Запросы без группы
лагерь для детей,26882,476,13,https://aidacamp.ru/,Запросы без группы
летний лагерь в подмосковье,3301,446,13,https://aidacamp.ru/,Запросы без группы
лагерь в подмосковье на лето 2026 цены,736,1,13,https://aidacamp.ru/,Запросы без группы
лагерь московская область летний 2026,190,118,13,https://aidacamp.ru/,Запросы без группы
куда деть ребенка летом,71,8,13,https://aidacamp.ru/stati/kuda-det-rebenka-letom/,Запросы без группы
детский лагерь летний 2026 год,68,0,13,https://aidacamp.ru/,Запросы без группы
компьютерный лагерь для детей,23,7,13,https://aidacamp.ru/,Запросы без группы
лагерь недорого 2026,916,1,14,https://aidacamp.ru/,Запросы без группы
летний лагерь в подмосковье 2026 недорого,114,86,14,https://aidacamp.ru/,Запросы без группы
лагерь для детей на лето 2026 цена,16,0,14,https://aidacamp.ru/,Запросы без группы
детский летний лагерь подмосковье лето 2026,0,0,14,https://aidacamp.ru/,Запросы без группы
лагерь в подмосковье на лето 2026,5790,746,15,https://aidacamp.ru/,Запросы без группы
лагеря на лето 2026 цены,874,0,15,https://aidacamp.ru/,Запросы без группы
детские лагеря на лето 2026 цены,799,9,15,https://aidacamp.ru/,Запросы без группы
лагерь на лето 2026 недорого,742,173,15,https://aidacamp.ru/,Запросы без группы
смены в лагере 2026 летние,98,7,15,https://aidacamp.ru/,Запросы без группы
летний отдых детей в лагере 2026,7,0,15,https://aidacamp.ru/,Запросы без группы
детский летний лагерь 2026 на лето,7,0,15,https://aidacamp.ru/,Запросы без группы
летние лагеря 2026 недорого на лето,2,0,15,https://aidacamp.ru/,Запросы без группы
летние лагеря 2026 для детей и подростков,0,0,15,https://aidacamp.ru/,Запросы без группы
лагерь в подмосковье,30907,1936,16,https://aidacamp.ru/,Запросы без группы
детский лагерь подмосковье на лето 2026 цены,728,0,16,https://aidacamp.ru/,Запросы без группы
летний лагерь для детей в подмосковье 2026,443,305,16,https://aidacamp.ru/,Запросы без группы
летний лагерь 2026 недорого,131,3,16,https://aidacamp.ru/,Запросы без группы
летний лагерь для детей 2026 год,119,0,16,https://aidacamp.ru/,Запросы без группы
лагерь программирования для детей,42,19,16,https://aidacamp.ru/,Запросы без группы
детский лагерь 2026 цены,1028,0,17,https://aidacamp.ru/,Запросы без группы
