запрос,позиция,url,дата_снимка
it лагерь,1,https://aidacamp.ru/,2026-04-19
it лагерь для детей,1,https://aidacamp.ru/,2026-04-19
айти лагерь,1,https://aidacamp.ru/,2026-04-19
айти лагерь для детей,1,https://aidacamp.ru/,2026-04-19
детские лагеря подмосковья 2026,1,https://aidacamp.ru/,2026-04-19
детские летние лагеря в подмосковье 2026,1,https://aidacamp.ru/,2026-04-19
детский летний лагерь,1,https://aidacamp.ru/,2026-04-19
детский летний лагерь 2026,1,https://aidacamp.ru/,2026-04-19
детский летний лагерь в москве,1,https://aidacamp.ru/,2026-04-19
детский летний лагерь в подмосковье,1,https://aidacamp.ru/,2026-04-19
ит лагерь,1,https://aidacamp.ru/,2026-04-19
ит лагерь для детей,1,https://aidacamp.ru/,2026-04-19
компьютерный лагерь,1,https://aidacamp.ru/,2026-04-19
компьютерный лагерь москва,1,https://aidacamp.ru/,2026-04-19
компьютерный летний лагерь,1,https://aidacamp.ru/,2026-04-19
лагерь it,1,https://aidacamp.ru/,2026-04-19
лагерь it для детей,1,https://aidacamp.ru/,2026-04-19
лагерь детям 2026 год,1,https://aidacamp.ru/,2026-04-19
лагерь для детей на лето 2026,1,https://aidacamp.ru/,2026-04-19
лагерь для подростков,1,https://aidacamp.ru/,2026-04-19
лагерь летний программирование,1,https://aidacamp.ru/,2026-04-19
лагерь подмосковье 2026,1,https://aidacamp.ru/,2026-04-19
лагерь по программированию,1,https://aidacamp.ru/,2026-04-19
лагерь программирования,1,https://aidacamp.ru/,2026-04-19
летний компьютерный лагерь,1,https://aidacamp.ru/,2026-04-19
летний лагерь в москве 2026,1,https://aidacamp.ru/,2026-04-19
летний лагерь для детей 2026,1,https://aidacamp.ru/,2026-04-19
летний лагерь для школьников 2026,1,https://aidacamp.ru/,2026-04-19
летний лагерь программирование,1,https://aidacamp.ru/,2026-04-19
айти лагерь москва,2,https://aidacamp.ru/,2026-04-19
айти лагерь подмосковье,2,https://aidacamp.ru/,2026-04-19
детский лагерь майнкрафт,2,https://aidacamp.ru/minecraft-lager/,2026-04-19
детский лагерь подмосковье лето 2026,2,https://aidacamp.ru/,2026-04-19
детский лагерь программирование подмосковье,2,https://aidacamp.ru/,2026-04-19
лагерь в подмосковье на лето 2026,2,https://aidacamp.ru/,2026-04-19
лагерь для детей,2,https://aidacamp.ru/,2026-04-19
лагерь программирования для детей в подмосковье,2,https://aidacamp.ru/,2026-04-19
летний компьютерный лагерь 2026,2,https://aidacamp.ru/,2026-04-19
летний лагерь в подмосковье 2026,2,https://aidacamp.ru/,2026-04-19
летний лагерь для детей,2,https://aidacamp.ru/,2026-04-19
летний лагерь для подростков,2,https://aidacamp.ru/,2026-04-19
лагерь программирования для подростков,3,https://aidacamp.ru/,2026-04-19
лагерь с программированием на лето,3,https://aidacamp.ru/,2026-04-19
летний лагерь в подмосковье,3,https://aidacamp.ru/,2026-04-19
летний лагерь подмосковье,3,https://aidacamp.ru/,2026-04-19
школа летняя it,3,https://aidacamp.ru/letnyaya-it-shkola/,2026-04-19
лагерь в подмосковье,5,https://aidacamp.ru/,2026-04-19
компьютерный лагерь для детей в подмосковье,6,https://aidacamp.ru/,2026-04-19
летний лагерь программирование для детей,6,https://aidacamp.ru/letnyaya-it-shkola/,2026-04-19
лагерь программирования для детей,7,https://aidacamp.ru/,2026-04-19
летний лагерь для подростков 14 лет,7,https://aidacamp.ru/,2026-04-19
лагерь для лето летний 2026,8,https://aidacamp.ru/,2026-04-19
летний лагерь москва подмосковье,9,https://aidacamp.ru/,2026-04-19
компьютерный лагерь для детей,10,https://aidacamp.ru/kompyuternyy-lager/,2026-04-19
детский лагерь на лето 2026,11,https://aidacamp.ru/,2026-04-19
летний лагерь в москве 2026 для подростков,11,https://aidacamp.ru/,2026-04-19
летний лагерь 2026 для подростков,12,https://aidacamp.ru/,2026-04-19
детские летние лагеря в москве 2026,13,https://aidacamp.ru/,2026-04-19
детский лагерь летний 2026 год,13,https://aidacamp.ru/,2026-04-19
детский летний лагерь 7 лет,13,https://aidacamp.ru/,2026-04-19
летний лагерь для детей 2026 год,13,https://aidacamp.ru/,2026-04-19
летний лагерь для программистов,13,https://aidacamp.ru/,2026-04-19
лагерь в москве 14 лет,15,https://aidacamp.ru/,2026-04-19
лагерь московская область летний 2026,15,https://aidacamp.ru/,2026-04-19
летний лагерь в москве для подростков,16,https://aidacamp.ru/,2026-04-19
летний лагерь в подмосковье 2026 недорого,16,https://aidacamp.ru/,2026-04-19
детский лагерь в подмосковье на лето,17,https://aidacamp.ru/,2026-04-19
