запрос,показы,клики,позиция,ctr_%,топ_страница
детский лагерь,2929,285,10.6,9.7,/
летний лагерь,1325,206,6.4,15.5,/
лагерь для подростков,1075,319,3.8,29.7,/
детский лагерь в подмосковье,909,293,5.5,32.2,/
лагерь в подмосковье,784,193,4.6,24.6,/
летний лагерь для детей,775,257,3.3,33.2,/
лагерь для детей,720,249,4.3,34.6,/
лагерь детский,634,0,7.4,0.0,/
летний лагерь в подмосковье,584,348,2.6,59.6,/
летний лагерь для подростков,578,330,2.2,57.1,/
детский летний лагерь,572,240,3.9,42.0,/
летний лагерь в подмосковье 2026,463,350,3.7,75.6,/
детский летний лагерь в подмосковье,446,321,1.5,72.0,/
компьютерный лагерь,430,334,1.9,77.7,/
лагерь it,410,374,1.2,91.2,/
летний детский лагерь,396,0,5.5,0.0,/
лагерь подмосковье,388,1,5.4,0.3,/
лагерь в подмосковье на лето 2026,380,229,4.1,60.3,/
лагерь для детей на лето 2026,374,261,2.2,69.8,/
it лагерь,364,320,1.4,87.9,/
детский лагерь на лето 2026,362,188,2.8,51.9,/
детский лагерь подмосковье,351,0,6.4,0.0,/
детский лагерь в подмосковье на лето 2026,346,2,4.9,0.6,/
детский лагерь подмосковье лето 2026,346,311,2.5,89.9,/
школа летняя it,345,315,1.7,91.3,/letnyaya-it-shkola/
детские летние лагеря в подмосковье 2026,333,301,1.8,90.4,/
детские лагеря подмосковья 2026,332,312,1.0,94.0,/
детский летний лагерь в москве,327,308,1.4,94.2,/
лагерь в подмосковье детский,325,1,5.3,0.3,/
летний лагерь в москве 2026,320,286,1.6,89.4,/
детский летний лагерь 2026,313,294,1.1,93.9,/
летний лагерь для детей 2026,311,272,1.8,87.5,/
лагерь летний,309,0,5.8,0.0,/
лагерь подмосковье 2026,283,258,1.3,91.2,/
летний лагерь для школьников 2026,283,264,1.0,93.3,/
лагерь детский в подмосковье,235,0,5.4,0.0,/
it летняя школа,203,0,2.9,0.0,/letnyaya-it-shkola/
летний лагерь 2026 для подростков,203,194,1.1,95.6,/
лагерь без гаджетов для детей,176,0,2.4,0.0,/lager-bez-telefonov/
летняя школа it,160,0,3.0,0.0,/letnyaya-it-shkola/
подмосковье лагерь,155,15,4.8,9.7,/
детский лагерь на лето 2026 айдакемп,147,55,2.1,37.4,/
лагерь детям 2026 год,138,131,1.1,94.9,/
детский лагерь на лето 2026 айдакемп москва,132,51,1.9,38.6,/
лагерь детям 2026 год айдакемп мск,131,48,2.1,36.6,/
лагерь для детей в подмосковье,131,0,15.7,0.0,/
лагерь летний в подмосковье,119,0,3.4,0.0,/
лагерь детям 2026 год айдакемп москва,114,40,2.0,35.1,/
летняя it школа,114,0,4.8,0.0,/letnyaya-it-shkola/
детский лагерь на лето 2026 айдакемп мск,112,41,2.1,36.6,/
лагерь летний в подмосковье 2026,99,0,2.5,0.0,/
лагерь детям 2026 год айдакемп,91,41,2.2,45.1,/
летние школы it,89,0,2.9,0.0,/letnyaya-it-shkola/
лагеря в подмосковье на лето 2026,83,0,7.1,0.0,/
айти лагерь для детей,75,9,3.5,12.0,/
летние лагеря в подмосковье 2026,71,0,5.8,0.0,/
летний лагерь в москве 2026 айдакемп мск,68,26,2.5,38.2,/
лагеря в подмосковье на лето,65,2,16.1,3.1,/
летние лагеря,63,0,6.2,0.0,/
летний лагерь 2026,63,1,10.3,1.6,/
летние it школы,61,0,3.3,0.0,/letnyaya-it-shkola/
летний лагерь 2026 для подростков айдакемп москва,61,21,2.1,34.4,/
летний лагерь айдакемп,60,29,1.5,48.3,/
детские лагеря в подмосковье 2026,59,0,2.1,0.0,/
летний лагерь в москве 2026 айдакемп москва,57,20,2.3,35.1,/
лагерь программирования,56,1,2.4,1.8,/
курсы программирования летом для школьников,55,0,5.5,0.0,/
летний лагерь в москве 2026 айдакемп,55,19,2.0,34.5,/
лагеря детские в подмосковье,54,1,10.7,1.9,/
летний лагерь для детей 2026 айдакемп москва,54,19,2.0,35.2,/
летняя школа айти,53,0,6.4,0.0,/letnyaya-it-shkola/
детский летний лагерь 2026 айдакемп москва,52,20,2.0,38.5,/
летний детский лагерь в подмосковье,52,1,2.4,1.9,/
летний лагерь айдакемп москва,52,23,2.0,44.2,/
летний лагерь айдакемп мск,52,22,1.6,42.3,/
летний лагерь 2026 для подростков айдакемп,47,18,1.9,38.3,/
детские лагеря подмосковья 2026 айдакемп москва,44,14,2.1,31.8,/
детский лагерь программирование,44,4,4.7,9.1,/
детский летний лагерь 2026 айдакемп,44,15,1.9,34.1,/
летний лагерь для детей 2026 айдакемп мск,44,13,2.2,29.5,/
образовательный лагерь,44,0,5.7,0.0,/obrazovatelnyy-lager/
летний лагерь 2026 для подростков айдакемп мск,43,16,2.0,37.2,/
детский лагерь айдакемп,40,26,1.3,65.0,/
детские лагеря подмосковья 2026 айдакемп,39,13,2.1,33.3,/
лагерь детский в подмосковье на лето 2026,38,0,7.8,0.0,/
лагеря в подмосковье,38,0,5.0,0.0,/
детский образовательный лагерь,37,0,7.6,0.0,/
детские летние лагеря в подмосковье 2026 айдакемп москва,35,11,2.0,31.4,/
компьютерный лагерь для детей в подмосковье,34,2,3.6,5.9,/
лагерь в подмосковье айдакемп москва,34,21,1.7,61.8,/
лагерь для детей на лето 2026 айдакемп москва,34,14,1.7,41.2,/
детские лагеря подмосковья 2026 айдакемп мск,33,12,1.8,36.4,/
лагерь подмосковье на лето 2026,33,0,10.8,0.0,/
лагеря подмосковье,33,0,4.3,0.0,/
летний лагерь подмосковье,33,0,3.3,0.0,/
детский лагерь айдакемп мск,32,21,1.7,65.6,/
лагерь в подмосковье на лето 2026 айдакемп,31,11,1.7,35.5,/
лагеря подмосковья 2026,31,0,9.3,0.0,/
it лагерь для подростков,30,4,7.2,13.3,/
лагерь в подмосковье на лето 2026 айдакемп москва,30,10,2.2,33.3,/
лагеря для подростков,30,0,2.7,0.0,/
летняя айти школа,30,0,7.2,0.0,/letnyaya-it-shkola/
детский лагерь новая москва,29,0,17.0,0.0,/
лагерь для детей на лето 2026 айдакемп мск,29,11,2.0,37.9,/
лагерь для подростков в подмосковье,29,0,6.3,0.0,/
лагеря подмосковья,29,0,5.0,0.0,/
лагерь для детей на лето 2026 айдакемп,28,11,1.8,39.3,/
лагерь для подростков на лето,28,0,5.7,0.0,/
летний it лагерь для детей,28,5,1.9,17.9,/
лагерь в подмосковье айдакемп мск,27,16,1.6,59.3,/
летние лагеря в подмосковье,27,0,4.5,0.0,/
летний лагерь для детей в подмосковье 2026,27,0,8.0,0.0,/
детские летние лагеря в подмосковье 2026 айдакемп мск,25,10,1.7,40.0,/
лагерь в подмосковье для подростков,25,0,7.4,0.0,/
лагерь подмосковье детский,25,0,8.0,0.0,/
детский лагерь подмосковье лето 2026 айдакемп москва,24,9,1.9,37.5,/
компьютерный лагерь для детей,24,8,4.3,33.3,/
лагерь дети 17 лет it,24,1,8.3,4.2,/
лагерь для детей айдакемп,24,11,1.5,45.8,/
летние лагеря для,24,2,5.8,8.3,/
летний лагерь для детей 2026 айдакемп,24,11,1.7,45.8,/
детский лагерь айдакемп москва,23,16,1.3,69.6,/
детский лагерь подмосковье лето 2026 айдакемп мск,23,8,2.4,34.8,/
детский летний лагерь 2026 айдакемп мск,23,9,1.9,39.1,/
лагерь 2026,23,0,9.2,0.0,/
лагерь в подмосковье лето 2026,23,0,8.3,0.0,/
лагерь для подростков айдакемп москва,23,10,1.5,43.5,/
лагерь для подростков айдакемп мск,23,11,1.9,47.8,/
лагерь программирования для детей,23,3,6.2,13.0,/
летний лагерь для ребенка,23,1,6.5,4.3,/
школа программистов летний лагерь,23,0,8.2,0.0,/letnyaya-it-shkola/
детский лагерь лето 2026,22,0,9.4,0.0,/
лагерь летний для подростков 2026,22,0,2.1,0.0,/
лагеря для детей,22,6,5.1,27.3,/
образовательный лагерь для детей,22,0,6.5,0.0,/
куда деть ребенка летом работающим родителям,21,1,5.5,4.8,/stati/kuda-det-rebenka-letom/
лагерь для подростков 2026,21,0,6.0,0.0,/
летний лагерь для подростков айдакемп москва,21,10,1.6,47.6,/
летний лагерь для подростков айдакемп мск,21,8,1.8,38.1,/
летний лагерь программирование,21,4,1.5,19.0,/
айти лагерь,20,2,2.3,10.0,/
детские летние лагеря в подмосковье 2026 айдакемп,20,8,1.8,40.0,/
детский лагерь в подмосковье лето 2026,20,0,8.9,0.0,/
как объяснить ребёнку что такое нейронные сети,20,3,8.5,15.0,/stati/nejroseti-dlya-detej/
летняя школа по программированию,20,1,6.0,5.0,/letnyaya-it-shkola/
лагерь roblox для девочек подростков 2026 atmosphere,19,0,6.0,0.0,/roblox-lager/
летний it лагерь,19,6,4.4,31.6,/
летний лагерь для подростков 2026,19,0,4.7,0.0,/
детские лагеря,18,0,7.5,0.0,/
курсы программирования летом для школьников авито,18,0,4.6,0.0,/
лагерь,18,0,7.9,0.0,/
лагерь в подмосковье для подростков на лето 2026,18,0,12.1,0.0,/
айдакемп,17,9,1.5,52.9,/
лагерь в подмосковье 2026,17,0,8.1,0.0,/
лагерь для детей на лето,17,0,7.2,0.0,/
летние образовательные лагеря,17,0,7.9,0.0,/
летний лагерь на ацтивцамп ру,17,0,8.6,0.0,/
летняя школа программирования,17,0,6.0,0.0,/letnyaya-it-shkola/
детские it лагеря,16,0,2.0,0.0,/
детский летний лагерь айдакемп мск,16,7,2.2,43.8,/
лагерь в подмосковье айдакемп,16,8,1.3,50.0,/
летние школы программирования,16,0,6.6,0.0,/letnyaya-it-shkola/
летний лагерь сайт,16,1,4.7,6.2,/
детский лагерь подмосковье лето 2026 айдакемп,15,7,1.8,46.7,/
лагерь для подростков 14 лет atmosphere camp,15,0,6.2,0.0,/
летние школы по программированию,15,0,5.5,0.0,/
летний лагерь для детей программа atmosphere camp,15,0,5.8,0.0,/
летний лагерь для подростков atmosphere,15,0,4.0,0.0,/
летний лагерь для подростков айдакемп,15,6,1.7,40.0,/
летний лагерь для детей в 2026 году atmosphere camp,14,0,5.5,0.0,/
летний лагерь для подростков в подмосковье,14,1,5.8,7.1,/
ит лагерь для подростков atmosphere camp,13,0,6.8,0.0,/
лагерь на каникулах для подростков atmosphere,13,0,7.1,0.0,/
летние лагеря для школьников 2026,13,0,2.8,0.0,/
летний лагерь для детей айдакемп москва,13,9,1.2,69.2,/
летний лагерь для подростков в подмосковье atmosphere camp,13,0,8.8,0.0,/
летний лагерь обнинск,13,0,11.1,0.0,/lager-obnisk/
образовательные лагеря,13,0,7.6,0.0,/obrazovatelnyy-lager/
путевка в лагерь в подмосковье,13,0,8.6,0.0,/
детский лагерь в подмосковье айдакемп мск,12,5,1.9,41.7,/
ит лагерь для подростков,12,0,9.5,0.0,/
лагерь 2026 летний для детей,12,0,4.6,0.0,/
летние лагеря для детей,12,0,5.7,0.0,/
летний лагерь для школьников 2026 айдакемп мск,12,4,2.2,33.3,/
летний лагерь подмосковье 2026,12,0,10.3,0.0,/
летний лагерь подмосковье для подростков,12,0,4.8,0.0,/
летний лагерь программирование для детей,12,4,3.4,33.3,/
подростковый лагерь в подмосковье,12,0,6.1,0.0,/
детский лагерь без гаджетов и телефонов,11,0,2.8,0.0,/lager-bez-telefonov/
